57.5,193.38,41.51,192.9,40.43,198.02,46.21,213.46,39.98,238.33,46.84,218.32,46.38,242.17,50.58,220.14,72.17,227.23,153.8
236.89,39.94,235.21,40.72,239.09,42.89,234.58,43.2,244.4,52.55,237.94,47.54,237.59,49.31,237.19,46.24,240.91,53.27,246.06
42.85,236.29,93.77,93.4,103.3,235.58,41.24,240.28,121.38,151.0,167.23,227.61,44.73,232.47,57.7,53.1,48.98,246.85,46.73
231.16,40.43,94.04,96.63,96.85,56.36,218.6,38.69,124.43,153.64,178.73,43.62,235.87,45.37,44.63,44.35,55.2,50.49,236.25
38.7,234.74,94.54,95.69,101.43,232.45,40.84,239.54,133.61,149.73,184.46,236.39,42.92,245.91,245.79,241.12,47.93,243.75,50.74
234.96,48.58,147.66,38.52,235.99,40.84,241.49,40.0,232.15,46.57,239.62,53.45,237.72,47.92,240.85,245.69,237.1,63.22,245.19
38.62,229.1,39.83,234.19,39.27,234.17,39.75,220.98,38.58,239.08,49.98,237.08,55.95,238.51,243.99,235.28,45.61,246.11,48.24
216.1,35.37,224.35,36.42,230.22,34.49,227.92,36.63,230.47,40.13,228.97,39.72,228.48,42.04,215.01,39.56,229.92,44.1,225.52
37.56,206.91,84.61,83.93,86.19,216.44,34.74,215.21,112.45,124.66,140.81,216.65,38.84,230.49,39.2,40.85,38.35,232.72,57.57
195.86,33.05,84.97,86.85,87.99,32.29,221.57,32.98,107.74,119.67,125.78,36.75,220.73,38.02,43.29,145.09,38.41,45.82,217.81
32.63,216.14,83.56,85.23,88.62,207.97,29.28,208.78,105.32,107.93,118.02,215.79,37.48,213.01,34.68,35.91,36.7,231.45,44.91
197.12,30.9,205.64,29.01,194.47,28.77,207.77,29.23,212.67,29.1,200.96,29.97,212.22,35.77,220.05,38.23,225.25,40.06,230.08
27.82,204.11,29.08,200.36,26.87,202.57,28.33,206.33,28.33,203.21,29.96,203.64,34.16,218.76,30.13,216.19,33.51,220.46,45.68
191.75,29.74,208.56,26.5,204.89,28.84,197.76,28.07,205.06,28.65,202.35,32.55,214.2,39.22,33.38,34.03,225.06,36.88,220.46
25.83,206.13,75.51,75.25,75.12,204.04,27.68,204.08,85.08,90.71,96.26,213.31,31.4,216.06,32.32,106.26,110.36,221.38,35.93
199.09,37.89,74.28,77.27,77.52,26.89,204.17,27.45,88.22,91.73,88.0,30.43,216.05,33.26,29.25,33.63,35.15,37.97,218.73
27.18,211.57,76.36,75.39,77.55,205.76,22.6,207.21,88.6,90.32,93.3,216.84,29.4,137.11,96.4,103.24,100.92,226.14,37.23
205.54,28.84,203.5,27.29,204.0,27.52,207.26,34.79,207.05,28.53,204.59,27.83,207.77,31.53,214.63,29.58,200.6,28.33,216.99
61.9,210.89,32.15,208.25,28.32,209.29,28.86,208.06,30.75,208.93,31.39,210.99,31.68,213.25,34.97,219.2,37.03,212.56,100.95
